window_id,start_idx_in_video_subset,end_idx_in_video_subset,start_time,end_time
0,0,199,2025-07-17 13:57:38,2025-07-17 13:57:41.980
1,100,299,2025-07-17 13:57:40,2025-07-17 13:57:43.980
2,200,399,2025-07-17 13:57:42,2025-07-17 13:57:45.980
3,300,499,2025-07-17 13:57:44,2025-07-17 13:57:47.980
4,400,599,2025-07-17 13:57:46,2025-07-17 13:57:49.980
5,500,699,2025-07-17 13:57:48,2025-07-17 13:57:51.980
6,600,799,2025-07-17 13:57:50,2025-07-17 13:57:53.980
7,700,899,2025-07-17 13:57:52,2025-07-17 13:57:55.980
8,800,999,2025-07-17 13:57:54,2025-07-17 13:57:57.980
9,900,1099,2025-07-17 13:57:56,2025-07-17 13:57:59.980
10,1000,1199,2025-07-17 13:57:58,2025-07-17 13:58:01.980
11,1100,1299,2025-07-17 13:58:00,2025-07-17 13:58:03.980
12,1200,1399,2025-07-17 13:58:02,2025-07-17 13:58:05.980
13,1300,1499,2025-07-17 13:58:04,2025-07-17 13:58:07.980
14,1400,1599,2025-07-17 13:58:06,2025-07-17 13:58:09.980
15,1500,1699,2025-07-17 13:58:08,2025-07-17 13:58:11.980
16,1600,1799,2025-07-17 13:58:10,2025-07-17 13:58:13.980
17,1700,1899,2025-07-17 13:58:12,2025-07-17 13:58:15.980
18,1800,1999,2025-07-17 13:58:14,2025-07-17 13:58:17.980
19,1900,2099,2025-07-17 13:58:16,2025-07-17 13:58:19.980
20,2000,2199,2025-07-17 13:58:18,2025-07-17 13:58:21.980
21,2100,2299,2025-07-17 13:58:20,2025-07-17 13:58:23.980
22,2200,2399,2025-07-17 13:58:22,2025-07-17 13:58:25.980
23,2300,2499,2025-07-17 13:58:24,2025-07-17 13:58:27.980
24,2400,2599,2025-07-17 13:58:26,2025-07-17 13:58:29.980
25,2500,2699,2025-07-17 13:58:28,2025-07-17 13:58:31.980
26,2600,2799,2025-07-17 13:58:30,2025-07-17 13:58:33.980
27,2700,2899,2025-07-17 13:58:32,2025-07-17 13:58:35.980
28,2800,2999,2025-07-17 13:58:34,2025-07-17 13:58:37.980
29,2900,3099,2025-07-17 13:58:36,2025-07-17 13:58:39.980
30,3000,3199,2025-07-17 13:58:38,2025-07-17 13:58:41.980
31,3100,3299,2025-07-17 13:58:40,2025-07-17 13:58:43.980
32,3200,3399,2025-07-17 13:58:42,2025-07-17 13:58:45.980
33,3300,3499,2025-07-17 13:58:44,2025-07-17 13:58:47.980
34,3400,3599,2025-07-17 13:58:46,2025-07-17 13:58:49.980
35,3500,3699,2025-07-17 13:58:48,2025-07-17 13:58:51.980
36,3600,3799,2025-07-17 13:58:50,2025-07-17 13:58:53.980
37,3700,3899,2025-07-17 13:58:52,2025-07-17 13:58:55.980
38,3800,3999,2025-07-17 13:58:54,2025-07-17 13:58:57.980
39,3900,4099,2025-07-17 13:58:56,2025-07-17 13:58:59.980
40,4000,4199,2025-07-17 13:58:58,2025-07-17 13:59:01.980
41,4100,4299,2025-07-17 13:59:00,2025-07-17 13:59:03.980
42,4200,4399,2025-07-17 13:59:02,2025-07-17 13:59:05.980
