sec_from_start,pts_time,tc_seconds,tc_str
0,0.0,50258.367033333336,13:57:38:22
1,1.0,50259.367033333336,13:57:39:22
2,2.0,50260.367033333336,13:57:40:22
3,3.0,50261.367033333336,13:57:41:22
4,4.0,50262.367033333336,13:57:42:22
5,5.0,50263.367033333336,13:57:43:22
6,6.0,50264.367033333336,13:57:44:22
7,7.0,50265.367033333336,13:57:45:22
8,8.0,50266.367033333336,13:57:46:22
9,9.0,50267.367033333336,13:57:47:22
10,10.0,50268.367033333336,13:57:48:22
11,11.0,50269.367033333336,13:57:49:22
12,12.0,50270.367033333336,13:57:50:22
13,13.0,50271.367033333336,13:57:51:22
14,14.0,50272.367033333336,13:57:52:22
15,15.0,50273.367033333336,13:57:53:22
16,16.0,50274.367033333336,13:57:54:22
17,17.0,50275.367033333336,13:57:55:22
18,18.0,50276.367033333336,13:57:56:22
19,19.0,50277.367033333336,13:57:57:22
20,20.0,50278.367033333336,13:57:58:22
21,21.0,50279.367033333336,13:57:59:22
22,22.0,50280.367033333336,13:58:00:22
23,23.0,50281.367033333336,13:58:01:22
24,24.0,50282.367033333336,13:58:02:22
25,25.0,50283.367033333336,13:58:03:22
26,26.0,50284.367033333336,13:58:04:22
27,27.0,50285.367033333336,13:58:05:22
28,28.0,50286.367033333336,13:58:06:22
29,29.0,50287.367033333336,13:58:07:22
30,30.0,50288.367033333336,13:58:08:22
31,31.0,50289.367033333336,13:58:09:22
32,32.0,50290.367033333336,13:58:10:22
33,33.0,50291.367033333336,13:58:11:22
34,34.0,50292.367033333336,13:58:12:22
35,35.0,50293.367033333336,13:58:13:22
36,36.0,50294.367033333336,13:58:14:22
37,37.0,50295.367033333336,13:58:15:22
38,38.0,50296.367033333336,13:58:16:22
39,39.0,50297.367033333336,13:58:17:22
40,40.0,50298.367033333336,13:58:18:22
41,41.0,50299.367033333336,13:58:19:22
42,42.0,50300.367033333336,13:58:20:22
43,43.0,50301.367033333336,13:58:21:22
44,44.0,50302.367033333336,13:58:22:22
45,45.0,50303.367033333336,13:58:23:22
46,46.0,50304.367033333336,13:58:24:22
47,47.0,50305.367033333336,13:58:25:22
48,48.0,50306.367033333336,13:58:26:22
49,49.0,50307.367033333336,13:58:27:22
50,50.0,50308.367033333336,13:58:28:22
51,51.0,50309.367033333336,13:58:29:22
52,52.0,50310.367033333336,13:58:30:22
53,53.0,50311.367033333336,13:58:31:22
54,54.0,50312.367033333336,13:58:32:22
55,55.0,50313.367033333336,13:58:33:22
56,56.0,50314.367033333336,13:58:34:22
57,57.0,50315.367033333336,13:58:35:22
58,58.0,50316.367033333336,13:58:36:22
59,59.0,50317.367033333336,13:58:37:22
60,60.0,50318.367033333336,13:58:38:22
61,61.0,50319.367033333336,13:58:39:22
62,62.0,50320.367033333336,13:58:40:22
63,63.0,50321.367033333336,13:58:41:22
64,64.0,50322.367033333336,13:58:42:22
65,65.0,50323.367033333336,13:58:43:22
66,66.0,50324.367033333336,13:58:44:22
67,67.0,50325.367033333336,13:58:45:22
68,68.0,50326.367033333336,13:58:46:22
69,69.0,50327.367033333336,13:58:47:22
70,70.0,50328.367033333336,13:58:48:22
71,71.0,50329.367033333336,13:58:49:22
72,72.0,50330.367033333336,13:58:50:22
73,73.0,50331.367033333336,13:58:51:22
74,74.0,50332.367033333336,13:58:52:22
75,75.0,50333.367033333336,13:58:53:22
76,76.0,50334.367033333336,13:58:54:22
77,77.0,50335.367033333336,13:58:55:22
78,78.0,50336.367033333336,13:58:56:22
79,79.0,50337.367033333336,13:58:57:22
80,80.0,50338.367033333336,13:58:58:22
81,81.0,50339.367033333336,13:58:59:22
82,82.0,50340.367033333336,13:59:00:22
83,83.0,50341.367033333336,13:59:01:22
84,84.0,50342.367033333336,13:59:02:22
85,85.0,50343.367033333336,13:59:03:22
86,86.0,50344.367033333336,13:59:04:22
87,87.0,50345.367033333336,13:59:05:22
88,88.0,50346.367033333336,13:59:06:22
89,89.0,50347.367033333336,13:59:07:22
90,90.0,50348.367033333336,13:59:08:22
91,91.0,50349.367033333336,13:59:09:22
92,92.0,50350.367033333336,13:59:10:22
93,93.0,50351.367033333336,13:59:11:22
94,94.0,50352.367033333336,13:59:12:22
95,95.0,50353.367033333336,13:59:13:22
96,96.0,50354.367033333336,13:59:14:22
97,97.0,50355.367033333336,13:59:15:22
98,98.0,50356.367033333336,13:59:16:22
99,99.0,50357.367033333336,13:59:17:22
100,100.0,50358.367033333336,13:59:18:22
101,101.0,50359.367033333336,13:59:19:22
102,102.0,50360.367033333336,13:59:20:22
103,103.0,50361.367033333336,13:59:21:22
104,104.0,50362.367033333336,13:59:22:22
105,105.0,50363.367033333336,13:59:23:22
106,106.0,50364.367033333336,13:59:24:22
107,107.0,50365.367033333336,13:59:25:22
108,108.0,50366.367033333336,13:59:26:22
109,109.0,50367.367033333336,13:59:27:22
110,110.0,50368.367033333336,13:59:28:22
111,111.0,50369.367033333336,13:59:29:22
112,112.0,50370.367033333336,13:59:30:22
113,113.0,50371.367033333336,13:59:31:22
114,114.0,50372.367033333336,13:59:32:22
115,115.0,50373.367033333336,13:59:33:22
